stop_id,matched_school,confidence
299,Dickson College,85
300,Dickson College,85
301,Amaroo School,85
302,Ainslie School,85
303,Dickson College,85
304,Dickson College,85
305,Campbell High School,100
306,Namadgi School,95
307,Dickson College,85
308,Dickson College,85
309,Campbell Primary School,100
310,Dickson College,85
311,University of Canberra Senior Secondary College Lake Ginninderra,85
312,Ainslie School,85
313,Ainslie School,85
314,Belconnen High School,100
315,University of Canberra Senior Secondary College Lake Ginninderra,85
316,Dickson College,85
317,Melrose High School,100
318,Dickson College,85
319,Dickson College,85
320,Dickson College,85
321,Telopea Park School,95
322,Ainslie School,85
323,Ainslie School,85
324,Dickson College,85
325,Alfred Deakin High School,100
326,Telopea Park School,95
327,Ainslie School,85
328,Forrest Primary  School,100
329,Calwell High School,100
330,Dickson College,85
331,Wanniassa School,95
332,Ainslie School,85
333,Dickson College,85
334,Canberra High School,100
335,Lake Tuggeranong College,85
336,Dickson College,85
337,Ainslie School,85
338,Dickson College,85
339,Canberra High School,100
340,Amaroo School,85
341,Ainslie School,85
342,University of Canberra Senior Secondary College Lake Ginninderra,85
343,Wanniassa Hills Primary School,100
344,Dickson College,85
345,Dickson College,85
346,Ainslie School,85
347,Dickson College,85
348,Ainslie School,85
349,Dickson College,85
350,Ainslie School,85
351,Lake Tuggeranong College,85
352,Lake Tuggeranong College,85
353,Forrest Primary  School,100
355,Forrest Primary  School,100
356,Ainslie School,85
357,Ainslie School,85
358,Campbell High School,100
359,Dickson College,85
360,Dickson College,85
361,Ainslie School,85
362,Alfred Deakin High School,100
363,Ainslie School,85
364,Ainslie School,85
365,University of Canberra Senior Secondary College Lake Ginninderra,85
366,University of Canberra Senior Secondary College Lake Ginninderra,85
367,University of Canberra Senior Secondary College Lake Ginninderra,85
368,Dickson College,85
369,Ainslie School,85
370,Ainslie School,85
371,Stromlo High School,95
372,Ainslie School,85
373,Ainslie School,85
374,Ainslie School,85
375,Melrose High School,100
376,Dickson College,85
377,Dickson College,85
378,Harrison School,95
379,Dickson College,85
380,Melba Copland Secondary School,95
381,University of Canberra Senior Secondary College Lake Ginninderra,85
382,Fraser Primary School,100
383,Ainslie School,85
384,Melrose High School,100
385,Dickson College,85
386,Melba Copland Secondary School,95
387,Ainslie School,85
388,Ainslie School,85
389,Ainslie School,85
390,Ainslie School,85
391,Ainslie School,85
392,Dickson College,85
393,Campbell High School,100
394,Dickson College,85
395,Lyneham Primary School,100
396,Dickson College,85
397,University of Canberra Senior Secondary College Lake Ginninderra,85
398,Calwell High School,100
399,Dickson College,85
400,North Ainslie Primary School,100
401,Dickson College,85
402,Namadgi School,95
403,Alfred Deakin High School,100
405,Ainslie School,85
406,Belconnen High School,100
407,Melrose High School,100
408,Ainslie School,85
409,Dickson College,85
410,Ainslie School,85
411,Ainslie School,85
412,Dickson College,85
413,University of Canberra High School Kaleen,100
414,Melba Copland Secondary School,95
415,Dickson College,85
417,University of Canberra Senior Secondary College Lake Ginninderra,85
418,Red Hill Primary School,100
419,Ainslie School,85
420,Ainslie School,85
421,Ainslie School,85
422,Ainslie School,85
423,Ainslie School,85
424,Ainslie School,85
425,Caroline Chisholm School,95
426,Dickson College,85
427,Dickson College,85
428,Telopea Park School,95
429,Ainslie School,85
430,Melrose High School,100
431,Dickson College,85
432,University of Canberra Senior Secondary College Lake Ginninderra,85
433,Forrest Primary  School,100
434,Ainslie School,85
435,Telopea Park School,95
436,Dickson College,85
437,Dickson College,85
438,Dickson College,85
439,Dickson College,85
440,University of Canberra Senior Secondary College Lake Ginninderra,85
441,Canberra High School,100
442,Ainslie School,85
443,Melba Copland Secondary School,95
444,Amaroo School,85
445,University of Canberra Senior Secondary College Lake Ginninderra,85
446,Dickson College,85
447,University of Canberra Senior Secondary College Lake Ginninderra,85
448,University of Canberra Senior Secondary College Lake Ginninderra,85
450,Dickson College,85
451,Forrest Primary  School,100
452,Ainslie School,85
453,Alfred Deakin High School,100
454,Dickson College,85
455,Namadgi School,95
456,North Ainslie Primary School,100
457,Ainslie School,85
458,Ainslie School,85
459,Telopea Park School,95
460,Dickson College,85
461,Dickson College,85
462,Melrose High School,100
463,Calwell Primary School,100
464,Telopea Park School,95
465,Dickson College,85
466,Lyneham Primary School,100
467,University of Canberra Senior Secondary College Lake Ginninderra,85
468,Dickson College,85
469,Dickson College,85
470,Ainslie School,85
471,Ainslie School,85
472,Telopea Park School,95
473,Wanniassa School,95
474,Ainslie School,85
475,Dickson College,85
476,Melrose High School,100
477,Dickson College,85
478,Dickson College,85
479,Ainslie School,85
480,Ainslie School,85
481,Ainslie School,85
482,Canberra High School,100
483,Dickson College,85
484,Lake Tuggeranong College,85
485,Ainslie School,85
486,Dickson College,85
487,Telopea Park School,95
488,Ainslie School,85
489,Calwell Primary School,100
490,Stromlo High School,95
491,Campbell High School,100
492,Ainslie School,85
493,Ainslie School,85
494,Ainslie School,85
495,Namadgi School,95
496,Ainslie School,85
497,Dickson College,85
498,Ainslie School,85
499,Ainslie School,85
500,Melrose High School,100
501,Lyneham Primary School,100
502,Alfred Deakin High School,100
503,University of Canberra Senior Secondary College Lake Ginninderra,85
504,Wanniassa Hills Primary School,100
505,Ainslie School,85
506,Calwell Primary School,100
507,Dickson College,85
508,Dickson College,85
509,Ainslie School,85
510,Campbell Primary School,100
